record_id,customer_id,subscription_id,subscription_plan,plan_category,subscription_start_date,subscription_end_date,billing_cycle,subscription_fee,discount_percent,tax_amount,final_amount_paid,payment_status,payment_method,auto_renew,renewal_count,subscription_status,feature_id,module_name,feature_name,feature_category,first_feature_used,usage_date,usage_count,active_days,session_duration_minutes,average_session_duration,feature_adoption_rate,adoption_stage,engagement_score,feature_success,error_count,device_type,login_location,ticket_id,ticket_created_date,first_response_minutes,ticket_closed_date,issue_category,priority,ticket_status,resolution_time_hours,sla_breached,assigned_team,customer_satisfaction,ticket_channel,product_version,release_cycle,churn_risk,monthly_active_user,weekly_active_user
REC000011,CUST000011,SUB000011,Growth,Standard,2023-09-01,2024-08-31,Quarterly,299,5,51.13,335.18,Paid,UPI,No,0,Active,F0028,Analytics,SSO,AI,Forecasting,2024-03-18,189,16,538,67.2,75.6,Power User,100,Success,1,Mobile,USA,TKT000011,2024-04-15 00:00:00,112,2024-04-17 20:00:00,Billing,Critical,Pending,68,Yes,Engineering,4.8,Email,v2.2,Stable,Low,Yes,Yes
REC000012,CUST000012,SUB000012,Growth,Standard,2023-08-23,2023-11-21,Quarterly,299,5,51.13,335.18,Pending,UPI,Yes,3,Active,F0201,Reporting,SSO,AI,Invoice,2023-09-14,244,23,689,689,97.6,Power User,100,Success,3,Mobile,UK,TKT000012,2023-09-13 00:00:00,176,2023-09-14 23:00:00,Feature Request,High,Pending,47,Yes,Support,3.7,Email,v2.0,Stable,Medium,No,Yes
REC000013,CUST000013,SUB000013,Growth,Standard,2023-10-13,2023-11-12,Monthly,299,5,51.13,335.18,Paid,Card,No,5,Active,F0081,CRM,SSO,AI,Dashboard,2024-03-26,205,9,605,121,82,Power User,100,Failed,0,Desktop,Germany,TKT000013,2024-04-19 00:00:00,52,2024-04-22 10:00:00,Integration,High,Closed,82,Yes,Engineering,5,Portal,v2.0,Stable,Low,Yes,No
REC000014,CUST000014,SUB000014,Growth,Standard,2024-02-03,2024-05-03,Quarterly,299,15,45.75,299.9,Paid,UPI,Yes,4,Active,F0032,Analytics,SSO,Core,Copilot,2024-05-05,77,11,201,67,30.8,Adopted,31,Success,5,Mobile,Germany,TKT000014,2024-04-25 00:00:00,28,2024-04-26 02:00:00,Integration,High,Open,26,Yes,Billing,3,Phone,v2.2,Beta,Medium,Yes,Yes
REC000015,CUST000015,SUB000015,Growth,Standard,2024-03-05,2024-04-04,Quarterly,299,0,53.82,352.82,Paid,UPI,Yes,0,Active,F0207,Reporting,Invoice,Core,Invoice,2024-07-20,163,24,483,69,65.2,Power User,91,Failed,0,Mobile,USA,TKT000015,2024-06-05 00:00:00,104,2024-06-05 18:00:00,Technical,Low,Open,18,Yes,Customer Success,4.9,Phone,v2.0,LTS,Low,Yes,No
REC000016,CUST000016,SUB000016,Growth,Standard,2023-11-02,2024-11-01,Monthly,299,10,48.44,317.54,Paid,UPI,Yes,0,Active,F0141,Automation,Forecasting,Premium,Workflow,2024-02-12,205,1,540,180,82,Power User,93,Failed,5,Tablet,Singapore,TKT000016,2024-02-18 00:00:00,98,2024-02-20 17:00:00,Login,Medium,Open,65,No,Support,3.2,Phone,v2.0,Stable,Medium,Yes,Yes
REC000017,CUST000017,SUB000017,Growth,Standard,2023-02-20,2024-02-20,Annual,299,20,43.06,282.26,Paid,Card,Yes,3,Active,F0039,Billing,Copilot,Premium,Reports,2023-08-19,17,8,66,8.2,6.8,New,15,Failed,2,Mobile,Germany,TKT000017,2023-09-15 00:00:00,52,2023-09-17 08:00:00,Integration,Low,Open,56,Yes,Support,4.1,Portal,v2.1,LTS,Low,No,Yes
REC000018,CUST000018,SUB000018,Growth,Standard,2023-06-01,2023-08-30,Quarterly,299,10,48.44,317.54,Paid,UPI,Yes,1,Active,F0060,Reporting,Invoice,AI,Forecasting,2023-12-13,100,14,270,45,40,Adopted,51,Failed,4,Tablet,USA,TKT000018,2023-07-20 00:00:00,165,2023-07-22 16:00:00,Integration,Critical,Resolved,64,No,Customer Success,3.4,Phone,v2.2,LTS,Medium,No,Yes
REC000019,CUST000019,SUB000019,Growth,Standard,2023-02-22,2024-02-22,Annual,299,5,51.13,335.18,Paid,UPI,Yes,8,Active,F0244,Billing,API,AI,Dashboard,2023-06-22,187,10,540,180,74.8,Power User,91,Success,2,Mobile,UK,TKT000019,2023-05-18 00:00:00,178,2023-05-21 17:00:00,Integration,Critical,Pending,89,Yes,Customer Success,4,Portal,v3.0,Beta,Low,Yes,No
REC000020,CUST000020,SUB000020,Growth,Standard,2023-12-23,2024-01-22,Annual,299,15,45.75,299.9,Paid,PayPal,No,3,Active,F0009,Billing,Invoice,AI,API,2024-02-12,88,18,243,243,35.2,Adopted,41,Failed,2,Mobile,India,TKT000020,2024-04-23 00:00:00,94,2024-04-26 19:00:00,Billing,High,Resolved,91,No,Support,4.2,Phone,v2.1,Stable,Low,Yes,Yes
REC000021,CUST000021,SUB000021,Growth,Standard,2023-01-06,2024-01-06,Quarterly,299,20,43.06,282.26,Paid,Card,No,1,Active,F0092,Reporting,Forecasting,Core,Copilot,2023-01-28,129,17,341,42.6,51.6,Power User,71,Success,2,Mobile,USA,TKT000021,2023-06-23 00:00:00,53,2023-06-26 19:00:00,Login,Low,Closed,91,No,Customer Success,4.2,Portal,v2.0,Beta,Low,Yes,Yes
REC000022,CUST000022,SUB000022,Growth,Standard,2024-04-29,2025-04-29,Quarterly,299,10,48.44,317.54,Paid,Bank Transfer,Yes,3,Active,F0206,AI Assistant,SSO,AI,Copilot,2024-06-06,105,26,266,44.3,42,Adopted,49,Failed,4,Tablet,Germany,TKT000022,2024-06-29 00:00:00,97,2024-06-29 05:00:00,Billing,Low,Closed,5,Yes,Engineering,3.9,Phone,v2.1,LTS,Medium,No,Yes
REC000023,CUST000023,SUB000023,Growth,Standard,2024-04-11,2024-05-11,Quarterly,299,10,48.44,317.54,Paid,PayPal,No,1,Active,F0233,Security,Reports,AI,Invoice,2024-06-09,55,20,119,14.9,22,Adopted,18,Success,2,Desktop,Germany,TKT000023,2024-11-20 00:00:00,135,2024-11-23 22:00:00,Feature Request,High,Pending,94,No,Engineering,4.8,Chat,v3.0,LTS,Low,Yes,No
REC000024,CUST000024,SUB000024,Growth,Standard,2023-02-02,2023-05-03,Monthly,299,20,43.06,282.26,Paid,Bank Transfer,Yes,3,Active,F0076,Automation,Dashboard,Premium,Workflow,2023-07-08,124,4,331,110.3,49.6,Power User,53,Failed,4,Desktop,USA,TKT000024,2023-07-07 00:00:00,45,2023-07-09 07:00:00,Technical,Medium,Resolved,55,Yes,Support,3.4,Chat,v2.0,Beta,Medium,Yes,Yes
REC000025,CUST000025,SUB000025,Growth,Standard,2024-04-12,2024-07-11,Annual,299,5,51.13,335.18,Paid,PayPal,Yes,5,Active,F0189,Reporting,Dashboard,AI,API,2024-06-30,116,30,351,351,46.4,Adopted,51,Failed,3,Mobile,Singapore,TKT000025,2024-06-30 00:00:00,45,2024-07-01 08:00:00,Integration,Medium,Pending,32,Yes,Billing,3.7,Portal,v2.1,LTS,Medium,Yes,Yes
REC000026,CUST000026,SUB000026,Growth,Standard,2023-03-28,2023-04-27,Annual,299,20,43.06,282.26,Paid,UPI,No,1,Active,F0203,AI Assistant,Copilot,AI,Copilot,2023-06-04,132,16,377,75.4,52.8,Power User,53,Success,0,Desktop,Singapore,TKT000026,2023-10-21 00:00:00,57,2023-10-22 07:00:00,Billing,Low,Open,31,No,Billing,5,Portal,v2.0,Stable,Low,No,No
REC000027,CUST000027,SUB000027,Growth,Standard,2023-02-06,2023-05-07,Monthly,299,20,43.06,282.26,Paid,PayPal,No,5,Active,F0218,Analytics,Workflow,Premium,Copilot,2023-04-15,144,27,390,390,57.6,Power User,78,Success,3,Desktop,India,TKT000027,2023-10-03 00:00:00,169,2023-10-04 16:00:00,Technical,High,Closed,40,No,Customer Success,4,Chat,v2.1,Stable,Low,Yes,No
REC000028,CUST000028,SUB000028,Growth,Standard,2024-01-05,2024-04-04,Quarterly,299,5,51.13,335.18,Paid,PayPal,No,0,Active,F0181,Automation,API,Core,Workflow,2024-02-13,198,26,575,143.8,79.2,Power User,97,Failed,0,Mobile,Singapore,TKT000028,2024-05-16 00:00:00,87,2024-05-19 03:00:00,Login,Critical,Resolved,75,No,Support,4.9,Chat,v2.0,Beta,Low,Yes,No
REC000029,CUST000029,SUB000029,Growth,Standard,2023-09-09,2023-10-09,Quarterly,299,5,51.13,335.18,Paid,PayPal,No,5,Active,F0204,Billing,Forecasting,Core,API,2024-02-22,176,4,498,124.5,70.4,Power User,80,Failed,1,Desktop,UK,TKT000029,2024-04-01 00:00:00,47,2024-04-04 00:00:00,Feature Request,High,Closed,72,No,Support,4.5,Email,v2.1,Stable,Low,No,No
REC000030,CUST000030,SUB000030,Growth,Standard,2023-02-22,2024-02-22,Monthly,299,5,51.13,335.18,Paid,PayPal,No,4,Active,F0164,Automation,SSO,Premium,Workflow,2023-07-04,131,21,405,67.5,52.4,Power User,71,Success,1,Desktop,India,TKT000030,2023-03-04 00:00:00,174,2023-03-07 18:00:00,Integration,Medium,Resolved,90,No,Customer Success,4.4,Phone,v2.1,LTS,Low,No,No
REC000031,CUST000031,SUB000031,Growth,Standard,2023-05-07,2023-06-06,Annual,299,5,51.13,335.18,Paid,Card,No,5,Active,F0168,Analytics,Invoice,AI,Workflow,2023-11-19,24,15,94,15.7,9.6,New,22,Failed,5,Tablet,Germany,TKT000031,2023-05-17 00:00:00,67,2023-05-19 01:00:00,Feature Request,High,Pending,49,No,Billing,3.1,Portal,v2.2,LTS,Medium,No,No
REC000032,CUST000032,SUB000032,Growth,Standard,2023-10-27,2024-01-25,Annual,299,20,43.06,282.26,Paid,UPI,Yes,5,Active,F0007,Automation,Workflow,Core,Invoice,2024-01-02,45,19,102,34,18,Adopted,30,Success,5,Mobile,USA,TKT000032,2024-04-28 00:00:00,154,2024-04-30 04:00:00,Integration,Critical,Closed,52,Yes,Support,3,Email,v2.1,LTS,Medium,Yes,Yes
REC000033,CUST000033,SUB000033,Growth,Standard,2024-03-17,2024-06-15,Quarterly,299,0,53.82,352.82,Pending,UPI,No,2,Active,F0084,Automation,SSO,AI,Dashboard,2024-05-03,92,25,241,34.4,36.8,Adopted,21,Failed,2,Tablet,UK,TKT000033,2024-08-23 00:00:00,122,2024-08-26 13:00:00,Login,Low,Closed,85,Yes,Support,4.4,Portal,v2.0,Stable,Low,Yes,Yes
REC000034,CUST000034,SUB000034,Growth,Standard,2023-11-28,2023-12-28,Annual,299,10,48.44,317.54,Paid,UPI,No,7,Active,F0149,Automation,Forecasting,Premium,Forecasting,2024-03-25,230,21,643,160.8,92,Power User,100,Success,2,Tablet,UK,TKT000034,2024-07-29 00:00:00,174,2024-07-30 20:00:00,Login,Medium,Closed,44,Yes,Engineering,4.4,Chat,v2.1,Stable,Low,Yes,Yes
REC000035,CUST000035,SUB000035,Growth,Standard,2024-01-28,2025-01-27,Quarterly,299,10,48.44,317.54,Paid,Card,No,1,Active,F0198,Reporting,Workflow,Premium,SSO,2024-05-26,83,20,244,48.8,33.2,Adopted,33,Success,5,Tablet,Germany,TKT000035,2024-05-29 00:00:00,129,2024-05-31 19:00:00,Login,Low,Open,67,Yes,Support,3.9,Portal,v3.0,Stable,Medium,Yes,Yes
REC000036,CUST000036,SUB000036,Growth,Standard,2024-01-08,2024-02-07,Quarterly,299,10,48.44,317.54,Paid,Card,No,8,Active,F0020,AI Assistant,Reports,AI,API,2024-04-03,38,14,144,48,15.2,New,15,Success,2,Desktop,Germany,TKT000036,2024-05-19 00:00:00,176,2024-05-19 10:00:00,Billing,High,Resolved,10,No,Billing,4.6,Chat,v2.1,Stable,Low,No,No
REC000037,CUST000037,SUB000037,Growth,Standard,2023-02-17,2023-05-18,Quarterly,299,0,53.82,352.82,Paid,Card,Yes,7,Active,F0175,Billing,Invoice,Premium,Reports,2023-03-24,229,13,655,163.8,91.6,Power User,100,Failed,0,Tablet,India,TKT000037,2023-11-17 00:00:00,75,2023-11-20 20:00:00,Billing,Medium,Open,92,Yes,Billing,5,Phone,v2.1,Beta,Low,No,No
REC000038,CUST000038,SUB000038,Growth,Standard,2023-05-07,2024-05-06,Quarterly,299,0,53.82,352.82,Paid,UPI,No,1,Active,F0054,Automation,Invoice,AI,Copilot,2023-06-09,196,20,571,95.2,78.4,Power User,78,Failed,3,Desktop,UK,TKT000038,2023-08-29 00:00:00,25,2023-08-30 15:00:00,Feature Request,High,Pending,39,No,Customer Success,3.6,Chat,v2.0,Beta,Medium,Yes,Yes
REC000039,CUST000039,SUB000039,Growth,Standard,2023-08-12,2023-09-11,Monthly,299,15,45.75,299.9,Paid,Bank Transfer,No,2,Active,F0225,Reporting,Forecasting,Core,API,2023-09-24,213,22,591,591,85.2,Power User,100,Success,0,Tablet,USA,TKT000039,2024-03-25 00:00:00,36,2024-03-26 06:00:00,Billing,Medium,Open,30,Yes,Support,5,Chat,v3.0,Beta,Low,No,Yes
REC000040,CUST000040,SUB000040,Growth,Standard,2024-03-22,2024-06-20,Annual,299,15,45.75,299.9,Paid,UPI,Yes,3,Active,F0232,AI Assistant,Invoice,Premium,Dashboard,2024-07-03,29,19,111,22.2,11.6,New,18,Success,6,Mobile,Singapore,TKT000040,2024-09-13 00:00:00,132,2024-09-15 18:00:00,Integration,Critical,Resolved,66,Yes,Support,3.3,Chat,v3.0,LTS,Medium,No,Yes
REC000041,CUST000041,SUB000041,Growth,Standard,2023-07-10,2024-07-09,Monthly,299,5,51.13,335.18,Paid,PayPal,Yes,8,Active,F0155,Reporting,SSO,Core,Workflow,2023-08-29,189,18,545,77.9,75.6,Power User,100,Success,2,Desktop,Singapore,TKT000041,2024-03-10 00:00:00,169,2024-03-12 12:00:00,Integration,Medium,Pending,60,No,Customer Success,4.6,Phone,v2.1,LTS,Low,Yes,Yes
REC000042,CUST000042,SUB000042,Growth,Standard,2023-10-14,2024-01-12,Quarterly,299,10,48.44,317.54,Pending,PayPal,No,2,Active,F0247,Billing,Forecasting,Premium,Forecasting,2024-01-14,116,17,323,46.1,46.4,Adopted,39,Success,6,Tablet,India,TKT000042,2024-04-09 00:00:00,6,2024-04-12 02:00:00,Feature Request,Medium,Open,74,Yes,Billing,3.3,Phone,v2.2,LTS,Medium,Yes,No
REC000043,CUST000043,SUB000043,Growth,Standard,2023-03-28,2024-03-27,Quarterly,299,20,43.06,282.26,Paid,Bank Transfer,Yes,8,Active,F0056,CRM,API,AI,Dashboard,2023-04-29,127,17,380,76,50.8,Power User,60,Failed,3,Mobile,UK,TKT000043,2023-12-29 00:00:00,144,2023-12-29 09:00:00,Feature Request,High,Pending,9,Yes,Engineering,4.3,Portal,v3.0,Stable,Low,Yes,Yes
REC000044,CUST000044,SUB000044,Growth,Standard,2023-08-01,2024-07-31,Quarterly,299,10,48.44,317.54,Paid,Bank Transfer,Yes,1,Active,F0164,Billing,SSO,Premium,Workflow,2023-12-10,132,19,386,386,52.8,Power User,68,Failed,3,Tablet,USA,TKT000044,2024-01-30 00:00:00,125,2024-02-01 01:00:00,Technical,Medium,Resolved,49,No,Billing,4.2,Portal,v2.2,Beta,Low,No,Yes
REC000045,CUST000045,SUB000045,Growth,Standard,2023-11-12,2024-11-11,Monthly,299,20,43.06,282.26,Paid,PayPal,No,2,Active,F0247,Security,Forecasting,AI,Workflow,2024-02-11,30,13,104,20.8,12,New,40,Success,2,Mobile,India,TKT000045,2024-04-06 00:00:00,175,2024-04-06 17:00:00,Feature Request,Low,Closed,17,Yes,Engineering,4,Email,v2.1,LTS,Low,Yes,Yes
REC000046,CUST000046,SUB000046,Growth,Standard,2023-11-27,2024-11-26,Quarterly,299,0,53.82,352.82,Paid,Bank Transfer,Yes,2,Active,F0110,Automation,Forecasting,Premium,Forecasting,2024-06-11,6,17,41,13.7,2.4,New,15,Success,2,Desktop,Singapore,TKT000046,2024-03-26 00:00:00,162,2024-03-28 15:00:00,Login,High,Pending,63,No,Customer Success,3.9,Portal,v2.0,Stable,Medium,Yes,Yes
REC000047,CUST000047,SUB000047,Growth,Standard,2023-01-10,2023-04-10,Quarterly,299,5,51.13,335.18,Paid,Card,Yes,6,Active,F0125,Automation,Forecasting,AI,Reports,2023-04-09,201,14,569,284.5,80.4,Power User,100,Success,0,Mobile,UK,TKT000047,2023-10-13 00:00:00,95,2023-10-15 12:00:00,Billing,High,Open,60,Yes,Customer Success,4.9,Email,v3.0,LTS,Low,No,No
REC000048,CUST000048,SUB000048,Growth,Standard,2024-01-04,2024-04-03,Quarterly,299,10,48.44,317.54,Paid,Bank Transfer,No,8,Active,F0124,Automation,API,Premium,Reports,2024-01-24,213,17,589,98.2,85.2,Power User,100,Failed,1,Mobile,USA,TKT000048,2024-07-14 00:00:00,56,2024-07-17 23:00:00,Login,Medium,Resolved,95,No,Support,4.6,Portal,v2.1,Beta,Low,No,Yes
REC000049,CUST000049,SUB000049,Growth,Standard,2023-08-20,2023-09-19,Annual,299,0,53.82,352.82,Paid,Bank Transfer,Yes,6,Active,F0217,Integrations,Copilot,Core,Forecasting,2023-11-02,83,22,252,42,33.2,Adopted,45,Failed,5,Desktop,Germany,TKT000049,2023-10-12 00:00:00,74,2023-10-12 21:00:00,Integration,Low,Open,21,Yes,Engineering,3.9,Portal,v2.0,Stable,Medium,Yes,No
REC000050,CUST000050,SUB000050,Growth,Standard,2023-02-03,2023-05-04,Annual,299,20,43.06,282.26,Paid,PayPal,No,8,Active,F0018,CRM,Reports,Premium,Dashboard,2023-03-26,114,19,324,81,45.6,Adopted,65,Failed,6,Mobile,USA,TKT000050,2023-08-13 00:00:00,91,2023-08-14 23:00:00,Technical,Critical,Pending,47,Yes,Engineering,3.3,Phone,v2.2,Stable,Medium,No,No
REC000051,CUST000051,SUB000051,Business,Premium,2023-05-11,2024-05-10,Monthly,799,20,115.06,754.26,Paid,Bank Transfer,Yes,2,Active,F0205,Integrations,Dashboard,Core,Dashboard,2023-05-28,144,11,416,69.3,57.6,Power User,71,Success,3,Desktop,USA,TKT000051,2024-02-06 00:00:00,121,2024-02-07 08:00:00,Billing,Low,Pending,32,Yes,Support,4.5,Chat,v2.1,LTS,Low,Yes,No
REC000052,CUST000052,SUB000052,Business,Premium,2023-04-24,2024-04-23,Annual,799,20,115.06,754.26,Paid,PayPal,No,5,Active,F0087,CRM,Dashboard,AI,Dashboard,2023-10-04,55,18,115,57.5,22,Adopted,16,Failed,4,Tablet,Singapore,TKT000052,2023-08-25 00:00:00,176,2023-08-28 20:00:00,Feature Request,High,Open,92,No,Billing,4.1,Portal,v2.0,Beta,Low,No,Yes
REC000053,CUST000053,SUB000053,Business,Premium,2023-05-14,2024-05-13,Quarterly,799,15,122.25,801.4,Paid,UPI,No,6,Active,F0151,Security,API,AI,SSO,2023-08-07,99,16,279,279,39.6,Adopted,81,Failed,3,Tablet,Singapore,TKT000053,2024-01-12 00:00:00,80,2024-01-15 13:00:00,Integration,High,Resolved,85,No,Customer Success,4,Chat,v2.1,LTS,Low,Yes,Yes
REC000054,CUST000054,SUB000054,Business,Premium,2024-02-21,2024-03-22,Quarterly,799,10,129.44,848.54,Paid,UPI,No,5,Active,F0002,Integrations,Copilot,Core,SSO,2024-03-29,204,13,554,110.8,81.6,Power User,100,Failed,1,Tablet,India,TKT000054,2024-12-10 00:00:00,15,2024-12-10 15:00:00,Integration,Critical,Open,15,No,Engineering,4.5,Chat,v2.1,Beta,Low,No,Yes
REC000055,CUST000055,SUB000055,Business,Premium,2024-02-04,2024-03-05,Quarterly,799,10,129.44,848.54,Paid,Bank Transfer,No,6,Active,F0250,Automation,Copilot,AI,Invoice,2024-02-29,228,18,666,83.2,91.2,Power User,100,Failed,0,Tablet,UK,TKT000055,2024-07-19 00:00:00,75,2024-07-20 08:00:00,Integration,High,Pending,32,No,Support,5,Chat,v3.0,LTS,Low,Yes,No
REC000056,CUST000056,SUB000056,Business,Premium,2024-04-10,2024-05-10,Quarterly,799,5,136.63,895.68,Paid,UPI,No,7,Active,F0125,Integrations,Workflow,Premium,SSO,2024-07-30,154,22,412,103,61.6,Power User,88,Failed,1,Desktop,Germany,TKT000056,2025-01-25 00:00:00,128,2025-01-26 15:00:00,Technical,Medium,Pending,39,No,Customer Success,4.3,Portal,v2.2,Stable,Low,No,No
REC000057,CUST000057,SUB000057,Business,Premium,2024-02-17,2025-02-16,Monthly,799,15,122.25,801.4,Paid,Card,Yes,8,Active,F0014,Automation,API,AI,Forecasting,2024-06-13,33,19,88,17.6,13.2,New,19,Failed,4,Desktop,India,TKT000057,2024-07-24 00:00:00,99,2024-07-25 09:00:00,Feature Request,Medium,Open,33,Yes,Engineering,4,Email,v2.2,LTS,Low,Yes,Yes
REC000058,CUST000058,SUB000058,Business,Premium,2024-03-14,2024-04-13,Annual,799,10,129.44,848.54,Paid,UPI,Yes,4,Active,F0030,Automation,Workflow,Premium,Forecasting,2024-04-18,54,22,144,72,21.6,Adopted,40,Success,5,Mobile,Germany,TKT000058,2024-10-02 00:00:00,113,2024-10-04 13:00:00,Billing,Critical,Resolved,61,No,Customer Success,3.3,Phone,v2.1,Beta,Medium,Yes,No
REC000059,CUST000059,SUB000059,Business,Premium,2023-07-17,2023-10-15,Monthly,799,10,129.44,848.54,Paid,Card,Yes,8,Active,F0064,Billing,API,Premium,Workflow,2023-11-17,90,22,289,57.8,36,Adopted,57,Failed,3,Mobile,Germany,TKT000059,2023-10-07 00:00:00,76,2023-10-08 09:00:00,Billing,Critical,Resolved,33,No,Support,4.6,Phone,v2.0,LTS,Low,Yes,Yes
REC000060,CUST000060,SUB000060,Business,Premium,2023-10-24,2023-11-23,Quarterly,799,0,143.82,942.82,Paid,Bank Transfer,Yes,4,Active,F0140,CRM,SSO,Premium,Workflow,2024-01-14,244,27,687,343.5,97.6,Power User,100,Success,0,Mobile,UK,TKT000060,2024-07-26 00:00:00,166,2024-07-28 22:00:00,Technical,High,Pending,70,No,Support,4.5,Phone,v2.1,Stable,Low,No,Yes
REC000061,CUST000061,SUB000061,Business,Premium,2023-08-06,2023-11-04,Annual,799,0,143.82,942.82,Paid,Card,Yes,6,Active,F0117,Security,Dashboard,Core,API,2023-08-25,184,16,539,89.8,73.6,Power User,96,Failed,3,Desktop,Singapore,TKT000061,2024-04-04 00:00:00,176,2024-04-07 07:00:00,Integration,High,Closed,79,Yes,Customer Success,4.4,Chat,v2.1,Beta,Low,Yes,Yes
REC000062,CUST000062,SUB000062,Business,Premium,2023-09-29,2023-10-29,Monthly,799,10,129.44,848.54,Paid,PayPal,No,2,Active,F0239,Security,Dashboard,Premium,Copilot,2023-10-01,20,6,62,62,8,New,15,Success,1,Mobile,India,TKT000062,2024-04-19 00:00:00,114,2024-04-23 00:00:00,Billing,High,Pending,96,Yes,Customer Success,4.8,Phone,v2.1,LTS,Low,Yes,Yes
