customer_id,customer_code,company_name,industry,company_size,customer_segment,employee_count,annual_revenue_usd,country,region,city,signup_date,first_login_date,last_login_date,login_count,customer_tenure_months,organization_age,account_manager_id,customer_status,customer_type
CUST000019,CC000019,Elevate Technologies 19,Construction,SMB,SMB,128,4000000,France,Europe,Paris,2022-09-04,2022-09-05,2022-12-31,850,27,33,AM019,Active,B2B
CUST000020,CC000020,Pulse Technologies 20,Government,SMB,SMB,244,3000000,UAE,Middle East,Dubai,2023-11-07,2023-11-14,2024-12-31,286,13,12,AM020,Active,B2B
CUST000021,CC000021,Apex Solutions 21,Information Technology,SMB,SMB,205,7000000,India,South Asia,Bengaluru,2023-07-07,2023-07-10,2024-06-23,702,17,27,AM021,Active,B2B
CUST000022,CC000022,Vertex Solutions 22,Banking & Finance,SMB,SMB,162,8000000,USA,North America,New York,2022-09-11,2022-09-14,2022-12-18,36,27,23,AM022,Active,B2B
CUST000023,CC000023,Nova Solutions 23,Healthcare,SMB,SMB,108,4000000,UK,Europe,London,2022-03-14,2022-03-14,2022-12-03,47,33,6,AM023,Active,B2B
CUST000024,CC000024,BluePeak Solutions 24,Manufacturing,SMB,SMB,68,4000000,Canada,North America,Vancouver,2023-11-17,2023-11-24,2024-07-30,755,13,10,AM024,Inactive,B2B
CUST000025,CC000025,Quantum Solutions 25,Retail,SMB,SMB,196,8000000,Germany,Europe,Berlin,2024-03-14,2024-03-21,2024-12-31,111,9,14,AM025,Active,B2B
CUST000026,CC000026,Prime Solutions 26,E-commerce,SMB,SMB,160,6000000,Singapore,Asia,Singapore,2023-02-25,2023-03-04,2023-05-28,77,22,8,AM026,Active,B2B
CUST000027,CC000027,Zenith Solutions 27,Education,SMB,SMB,136,2000000,Australia,Oceania,Sydney,2022-07-16,2022-07-19,2024-02-18,158,29,30,AM027,Active,B2B
CUST000028,CC000028,Fusion Solutions 28,Logistics,SMB,SMB,121,8000000,Japan,Asia,Tokyo,2024-06-14,2024-06-15,2024-12-31,66,6,8,AM028,Active,B2B
CUST000029,CC000029,Orbit Solutions 29,Telecommunications,SMB,SMB,188,1000000,France,Europe,Paris,2024-02-11,2024-02-14,2024-09-01,512,10,28,AM029,Active,B2B
CUST000030,CC000030,Bright Solutions 30,Real Estate,SMB,SMB,152,1000000,UAE,Middle East,Dubai,2023-01-24,2023-01-24,2024-03-28,817,23,18,AM030,Active,B2B
CUST000031,CC000031,NextGen Solutions 31,Pharmaceuticals,SMB,SMB,123,7000000,India,South Asia,Mumbai,2023-11-09,2023-11-16,2024-05-22,318,13,14,AM031,Active,B2B
CUST000032,CC000032,Alpha Solutions 32,Hospitality,SMB,SMB,64,1000000,USA,North America,Seattle,2022-02-28,2022-02-28,2023-11-18,529,34,32,AM032,Active,B2B
CUST000033,CC000033,Vision Solutions 33,Insurance,SMB,SMB,185,3000000,UK,Europe,London,2023-06-05,2023-06-06,2024-01-12,624,18,6,AM033,Active,B2B
CUST000034,CC000034,Core Solutions 34,Consulting,SMB,SMB,110,7000000,Canada,North America,Toronto,2023-08-07,2023-08-10,2024-12-31,649,16,4,AM034,Active,B2B
CUST000035,CC000035,Nexa Solutions 35,Media,SMB,SMB,218,6000000,Germany,Europe,Munich,2022-07-29,2022-08-03,2023-05-04,420,29,18,AM035,Active,B2B
CUST000036,CC000036,Skyline Solutions 36,Energy,SMB,SMB,215,5000000,Singapore,Asia,Singapore,2022-11-20,2022-11-21,2022-12-30,651,25,31,AM036,Inactive,B2B
CUST000037,CC000037,Pioneer Solutions 37,Automotive,SMB,SMB,75,2000000,Australia,Oceania,Perth,2022-08-07,2022-08-11,2023-01-23,85,28,24,AM037,Active,B2B
CUST000038,CC000038,Optima Solutions 38,Agriculture,SMB,SMB,144,5000000,Japan,Asia,Tokyo,2023-03-25,2023-03-29,2024-12-31,23,21,35,AM038,Active,B2B
CUST000039,CC000039,Elevate Solutions 39,Construction,SMB,SMB,191,5000000,France,Europe,Marseille,2022-04-17,2022-04-19,2023-02-13,124,32,9,AM039,Active,B2B
CUST000040,CC000040,Pulse Solutions 40,Government,SMB,SMB,89,5000000,UAE,Middle East,Abu Dhabi,2023-09-12,2023-09-15,2024-09-30,718,15,15,AM040,Active,B2B
CUST000041,CC000041,Apex Systems 41,Information Technology,SMB,SMB,117,8000000,India,South Asia,Pune,2024-05-16,2024-05-16,2024-09-17,864,7,29,AM041,Active,B2B
CUST000042,CC000042,Vertex Systems 42,Banking & Finance,SMB,SMB,50,6000000,USA,North America,Austin,2023-10-15,2023-10-19,2024-05-01,579,14,30,AM042,Active,B2B
CUST000043,CC000043,Nova Systems 43,Healthcare,SMB,SMB,193,1000000,UK,Europe,London,2022-03-19,2022-03-21,2023-10-30,869,33,4,AM043,Active,B2B
CUST000044,CC000044,BluePeak Systems 44,Manufacturing,SMB,SMB,191,3000000,Canada,North America,Vancouver,2022-05-11,2022-05-11,2023-04-21,830,31,25,AM044,Inactive,B2B
CUST000045,CC000045,Quantum Systems 45,Retail,SMB,SMB,60,6000000,Germany,Europe,Berlin,2023-11-30,2023-12-03,2024-04-16,813,13,24,AM045,Active,B2B
CUST000046,CC000046,Prime Systems 46,E-commerce,SMB,SMB,154,3000000,Singapore,Asia,Singapore,2024-06-04,2024-06-06,2024-12-31,40,6,28,AM046,Active,B2B
CUST000047,CC000047,Zenith Systems 47,Education,SMB,SMB,135,7000000,Australia,Oceania,Perth,2024-06-03,2024-06-06,2024-12-31,821,6,12,AM047,Active,B2B
CUST000048,CC000048,Fusion Systems 48,Logistics,SMB,SMB,147,1000000,Japan,Asia,Osaka,2022-08-16,2022-08-19,2024-01-02,327,28,24,AM048,Active,B2B
CUST000049,CC000049,Orbit Systems 49,Telecommunications,SMB,SMB,108,4000000,France,Europe,Paris,2023-11-07,2023-11-10,2024-12-31,300,13,23,AM049,Active,B2B
CUST000050,CC000050,Bright Systems 50,Real Estate,SMB,SMB,247,5000000,UAE,Middle East,Abu Dhabi,2023-10-19,2023-10-25,2024-12-31,43,14,23,AM050,Active,B2B
CUST000051,CC000051,NextGen Systems 51,Pharmaceuticals,Mid-Market,Mid-Market,517,21000000,India,South Asia,Mumbai,2022-09-29,2022-09-29,2023-02-17,368,27,29,AM051,Active,B2B
CUST000052,CC000052,Alpha Systems 52,Hospitality,Mid-Market,Mid-Market,571,37000000,USA,North America,Boston,2023-06-08,2023-06-09,2024-08-06,275,18,14,AM052,Active,B2B
CUST000053,CC000053,Vision Systems 53,Insurance,Mid-Market,Mid-Market,696,10000000,UK,Europe,Leeds,2024-04-05,2024-04-08,2024-12-31,86,8,29,AM053,Inactive,B2B
CUST000054,CC000054,Core Systems 54,Consulting,Mid-Market,Mid-Market,588,49000000,Canada,North America,Vancouver,2023-11-11,2023-11-12,2024-10-14,331,13,34,AM054,Active,B2B
CUST000055,CC000055,Nexa Systems 55,Media,Mid-Market,Mid-Market,584,35000000,Germany,Europe,Hamburg,2022-10-30,2022-11-01,2023-06-15,695,26,28,AM055,Inactive,B2B
CUST000056,CC000056,Skyline Systems 56,Energy,Mid-Market,Mid-Market,943,21000000,Singapore,Asia,Singapore,2023-02-20,2023-02-20,2024-01-27,230,22,20,AM056,Active,B2B
CUST000057,CC000057,Pioneer Systems 57,Automotive,Mid-Market,Mid-Market,843,48000000,Australia,Oceania,Perth,2022-11-26,2022-12-03,2024-03-29,706,25,30,AM057,Active,B2B
CUST000058,CC000058,Optima Systems 58,Agriculture,Mid-Market,Mid-Market,734,20000000,Japan,Asia,Nagoya,2022-03-28,2022-04-01,2023-10-10,110,33,23,AM058,Active,B2B
CUST000059,CC000059,Elevate Systems 59,Construction,Mid-Market,Mid-Market,490,29000000,France,Europe,Paris,2024-04-05,2024-04-08,2024-10-05,62,8,3,AM059,Active,B2B
CUST000060,CC000060,Pulse Systems 60,Government,Mid-Market,Mid-Market,736,49000000,UAE,Middle East,Dubai,2023-04-12,2023-04-18,2024-12-31,750,20,14,AM060,Active,B2B
CUST000061,CC000061,Apex Analytics 61,Information Technology,Mid-Market,Mid-Market,756,35000000,India,South Asia,Bengaluru,2022-06-01,2022-06-01,2022-10-18,239,30,29,AM001,Active,B2B
CUST000062,CC000062,Vertex Analytics 62,Banking & Finance,Mid-Market,Mid-Market,962,43000000,USA,North America,Chicago,2022-02-21,2022-02-24,2022-07-28,151,34,31,AM002,Active,B2B
CUST000063,CC000063,Nova Analytics 63,Healthcare,Mid-Market,Mid-Market,933,43000000,UK,Europe,Leeds,2023-09-02,2023-09-07,2024-12-31,451,15,34,AM003,Active,B2B
CUST000064,CC000064,BluePeak Analytics 64,Manufacturing,Mid-Market,Mid-Market,811,38000000,Canada,North America,Toronto,2024-02-01,2024-02-08,2024-12-31,784,10,18,AM004,Active,B2B
CUST000065,CC000065,Quantum Analytics 65,Retail,Mid-Market,Mid-Market,902,27000000,Germany,Europe,Hamburg,2023-05-12,2023-05-15,2024-03-21,94,19,30,AM005,Active,B2B
CUST000066,CC000066,Prime Analytics 66,E-commerce,Mid-Market,Mid-Market,490,27000000,Singapore,Asia,Singapore,2022-11-24,2022-11-25,2023-05-15,251,25,11,AM006,Active,B2B
CUST000067,CC000067,Zenith Analytics 67,Education,Mid-Market,Mid-Market,406,23000000,Australia,Oceania,Sydney,2023-03-01,2023-03-07,2024-03-09,440,21,31,AM007,Active,B2B
CUST000068,CC000068,Fusion Analytics 68,Logistics,Mid-Market,Mid-Market,680,34000000,Japan,Asia,Nagoya,2023-12-14,2023-12-14,2024-12-31,503,12,26,AM008,Active,B2B
CUST000069,CC000069,Orbit Analytics 69,Telecommunications,Mid-Market,Mid-Market,610,29000000,France,Europe,Lyon,2024-05-23,2024-05-29,2024-12-31,514,7,16,AM009,Active,B2B
CUST000070,CC000070,Bright Analytics 70,Real Estate,Mid-Market,Mid-Market,696,41000000,UAE,Middle East,Dubai,2023-02-03,2023-02-08,2024-04-27,875,22,12,AM010,Active,B2B
CUST000071,CC000071,NextGen Analytics 71,Pharmaceuticals,Mid-Market,Mid-Market,380,49000000,India,South Asia,Mumbai,2022-01-28,2022-02-03,2023-11-01,100,35,3,AM011,Active,B2B
CUST000072,CC000072,Alpha Analytics 72,Hospitality,Mid-Market,Mid-Market,388,39000000,USA,North America,Austin,2022-02-21,2022-02-25,2023-04-19,231,34,22,AM012,Active,B2B
CUST000073,CC000073,Vision Analytics 73,Insurance,Mid-Market,Mid-Market,595,34000000,UK,Europe,Manchester,2024-02-10,2024-02-16,2024-11-30,496,10,7,AM013,Active,B2B
CUST000074,CC000074,Core Analytics 74,Consulting,Mid-Market,Mid-Market,802,13000000,Canada,North America,Vancouver,2022-08-18,2022-08-19,2024-07-16,787,28,4,AM014,Active,B2B
CUST000075,CC000075,Nexa Analytics 75,Media,Mid-Market,Mid-Market,503,22000000,Germany,Europe,Berlin,2023-09-29,2023-10-01,2024-07-01,499,15,10,AM015,Active,B2B
CUST000076,CC000076,Skyline Analytics 76,Energy,Enterprise,Enterprise,3310,115000000,Singapore,Asia,Singapore,2023-12-18,2023-12-22,2024-12-31,635,12,12,AM016,Active,B2B
CUST000077,CC000077,Pioneer Analytics 77,Automotive,Enterprise,Enterprise,4063,243000000,Australia,Oceania,Sydney,2024-03-07,2024-03-09,2024-12-31,607,9,8,AM017,Active,B2B
CUST000078,CC000078,Optima Analytics 78,Agriculture,Enterprise,Enterprise,2277,207000000,Japan,Asia,Nagoya,2023-01-20,2023-01-26,2023-09-16,621,23,6,AM018,Active,B2B
CUST000079,CC000079,Elevate Analytics 79,Construction,Enterprise,Enterprise,3569,122000000,France,Europe,Paris,2023-12-15,2023-12-19,2024-12-31,830,12,9,AM019,Inactive,B2B
CUST000080,CC000080,Pulse Analytics 80,Government,Enterprise,Enterprise,4205,70000000,UAE,Middle East,Abu Dhabi,2023-06-30,2023-07-06,2024-08-18,533,18,6,AM020,Active,B2B
CUST000081,CC000081,Apex Digital 81,Information Technology,Enterprise,Enterprise,1051,277000000,India,South Asia,Chennai,2024-04-22,2024-04-29,2024-09-14,385,8,29,AM021,Active,B2B
CUST000082,CC000082,Vertex Digital 82,Banking & Finance,Enterprise,Enterprise,4394,177000000,USA,North America,Austin,2023-03-22,2023-03-24,2024-10-08,645,21,19,AM022,Active,B2B
CUST000083,CC000083,Nova Digital 83,Healthcare,Enterprise,Enterprise,3204,258000000,UK,Europe,Manchester,2023-04-22,2023-04-28,2024-12-31,345,20,19,AM023,Active,B2B
CUST000084,CC000084,BluePeak Digital 84,Manufacturing,Enterprise,Enterprise,4402,299000000,Canada,North America,Toronto,2022-10-13,2022-10-20,2023-07-26,598,26,31,AM024,Active,B2B
CUST000085,CC000085,Quantum Digital 85,Retail,Enterprise,Enterprise,2552,146000000,Germany,Europe,Berlin,2023-05-22,2023-05-27,2023-12-29,232,19,33,AM025,Active,B2B
CUST000086,CC000086,Prime Digital 86,E-commerce,Enterprise,Enterprise,2058,147000000,Singapore,Asia,Singapore,2023-09-03,2023-09-07,2024-12-31,544,15,2,AM026,Inactive,B2B
CUST000087,CC000087,Zenith Digital 87,Education,Enterprise,Enterprise,1350,121000000,Australia,Oceania,Perth,2023-02-21,2023-02-28,2024-10-18,722,22,17,AM027,Active,B2B
CUST000088,CC000088,Fusion Digital 88,Logistics,Enterprise,Enterprise,3915,185000000,Japan,Asia,Osaka,2024-03-22,2024-03-22,2024-07-25,241,9,20,AM028,Active,B2B
CUST000089,CC000089,Orbit Digital 89,Telecommunications,Enterprise,Enterprise,1996,138000000,France,Europe,Marseille,2023-08-19,2023-08-24,2024-12-31,367,16,35,AM029,Active,B2B
CUST000090,CC000090,Bright Digital 90,Real Estate,Enterprise,Enterprise,4055,200000000,UAE,Middle East,Abu Dhabi,2022-12-27,2023-01-03,2023-11-06,272,24,21,AM030,Active,B2B
CUST000091,CC000091,NextGen Digital 91,Pharmaceuticals,Small,Startup,17,423000,India,South Asia,Hyderabad,2024-01-31,2024-02-02,2024-09-15,771,11,15,AM031,Active,B2B
CUST000092,CC000092,Alpha Digital 92,Hospitality,Small,Startup,42,878000,USA,North America,Boston,2023-09-04,2023-09-08,2024-01-18,318,15,14,AM032,Active,B2B
CUST000093,CC000093,Vision Digital 93,Insurance,Small,Startup,16,409000,UK,Europe,London,2023-12-27,2023-12-29,2024-11-03,70,12,4,AM033,Active,B2B
CUST000094,CC000094,Core Digital 94,Consulting,Small,Startup,49,229000,Canada,North America,Calgary,2024-06-08,2024-06-15,2024-10-28,602,6,2,AM034,Active,B2B
CUST000095,CC000095,Nexa Digital 95,Media,Small,Startup,35,551000,Germany,Europe,Munich,2022-07-08,2022-07-08,2023-04-22,131,29,32,AM035,Active,B2B
CUST000096,CC000096,Skyline Digital 96,Energy,Small,Startup,30,603000,Singapore,Asia,Singapore,2023-08-14,2023-08-14,2024-02-15,845,16,11,AM036,Active,B2B
CUST000097,CC000097,Pioneer Digital 97,Automotive,Small,Startup,24,187000,Australia,Oceania,Sydney,2022-05-02,2022-05-08,2024-02-17,809,31,16,AM037,Active,B2B
CUST000098,CC000098,Optima Digital 98,Agriculture,Small,Startup,33,553000,Japan,Asia,Osaka,2024-05-30,2024-06-05,2024-12-31,639,7,5,AM038,Inactive,B2B
CUST000099,CC000099,Elevate Digital 99,Construction,Small,Startup,11,881000,France,Europe,Paris,2023-10-03,2023-10-06,2024-08-01,175,14,7,AM039,Active,B2B
CUST000100,CC000100,Pulse Digital 100,Government,Small,Startup,40,176000,UAE,Middle East,Dubai,2022-01-03,2022-01-09,2023-05-15,313,35,32,AM040,Active,B2B
CUST000101,CC000101,Apex Cloud 101,Information Technology,SMB,SMB,123,5000000,India,South Asia,Chennai,2022-03-14,2022-03-17,2023-01-11,450,33,14,AM041,Active,B2B
CUST000102,CC000102,Vertex Cloud 102,Banking & Finance,SMB,SMB,107,3000000,USA,North America,Seattle,2024-04-26,2024-04-28,2024-08-09,184,8,5,AM042,Active,B2B
CUST000103,CC000103,Nova Cloud 103,Healthcare,SMB,SMB,202,5000000,UK,Europe,Manchester,2022-05-08,2022-05-15,2023-04-21,293,31,27,AM043,Active,B2B
CUST000104,CC000104,BluePeak Cloud 104,Manufacturing,SMB,SMB,176,8000000,Canada,North America,Toronto,2023-09-05,2023-09-05,2024-12-20,633,15,22,AM044,Active,B2B
CUST000105,CC000105,Quantum Cloud 105,Retail,SMB,SMB,73,4000000,Germany,Europe,Hamburg,2024-05-06,2024-05-06,2024-12-31,796,7,4,AM045,Active,B2B
CUST000106,CC000106,Prime Cloud 106,E-commerce,SMB,SMB,170,8000000,Singapore,Asia,Singapore,2022-07-05,2022-07-11,2024-05-21,108,29,33,AM046,Active,B2B
CUST000107,CC000107,Zenith Cloud 107,Education,SMB,SMB,154,6000000,Australia,Oceania,Melbourne,2023-11-18,2023-11-19,2024-05-31,436,13,23,AM047,Active,B2B
CUST000108,CC000108,Fusion Cloud 108,Logistics,SMB,SMB,123,7000000,Japan,Asia,Nagoya,2022-02-07,2022-02-14,2022-06-14,273,34,22,AM048,Active,B2B
CUST000109,CC000109,Orbit Cloud 109,Telecommunications,SMB,SMB,247,7000000,France,Europe,Marseille,2024-04-24,2024-04-24,2024-12-31,438,8,31,AM049,Active,B2B
CUST000110,CC000110,Bright Cloud 110,Real Estate,SMB,SMB,182,6000000,UAE,Middle East,Abu Dhabi,2023-10-03,2023-10-10,2023-12-31,288,14,15,AM050,Active,B2B
CUST000111,CC000111,NextGen Cloud 111,Pharmaceuticals,SMB,SMB,123,8000000,India,South Asia,Chennai,2022-05-05,2022-05-05,2024-03-10,741,31,17,AM051,Active,B2B
CUST000112,CC000112,Alpha Cloud 112,Hospitality,SMB,SMB,191,1000000,USA,North America,Boston,2023-02-22,2023-02-23,2023-11-10,487,22,9,AM052,Inactive,B2B
CUST000113,CC000113,Vision Cloud 113,Insurance,SMB,SMB,215,3000000,UK,Europe,Manchester,2024-01-04,2024-01-08,2024-12-31,440,11,19,AM053,Active,B2B
CUST000114,CC000114,Core Cloud 114,Consulting,SMB,SMB,170,4000000,Canada,North America,Vancouver,2023-07-19,2023-07-21,2024-09-15,628,17,14,AM054,Active,B2B
CUST000115,CC000115,Nexa Cloud 115,Media,SMB,SMB,84,2000000,Germany,Europe,Munich,2024-03-02,2024-03-08,2024-12-31,288,9,34,AM055,Active,B2B
CUST000116,CC000116,Skyline Cloud 116,Energy,SMB,SMB,122,5000000,Singapore,Asia,Singapore,2024-06-05,2024-06-07,2024-12-31,368,6,32,AM056,Active,B2B
CUST000117,CC000117,Pioneer Cloud 117,Automotive,SMB,SMB,245,7000000,Australia,Oceania,Melbourne,2022-11-26,2022-11-29,2023-08-30,254,25,26,AM057,Active,B2B
CUST000118,CC000118,Optima Cloud 118,Agriculture,SMB,SMB,155,1000000,Japan,Asia,Osaka,2024-02-02,2024-02-09,2024-12-31,694,10,26,AM058,Active,B2B
CUST000119,CC000119,Elevate Cloud 119,Construction,SMB,SMB,216,3000000,France,Europe,Lyon,2022-02-07,2022-02-09,2023-08-07,117,34,23,AM059,Active,B2B
CUST000120,CC000120,Pulse Cloud 120,Government,SMB,SMB,162,2000000,UAE,Middle East,Abu Dhabi,2022-01-16,2022-01-18,2023-04-12,91,35,11,AM060,Active,B2B
CUST000121,CC000121,Apex Networks 121,Information Technology,SMB,SMB,117,6000000,India,South Asia,Mumbai,2023-12-11,2023-12-17,2024-12-31,887,12,7,AM001,Active,B2B
CUST000122,CC000122,Vertex Networks 122,Banking & Finance,SMB,SMB,222,7000000,USA,North America,Seattle,2023-10-04,2023-10-11,2024-12-31,647,14,4,AM002,Active,B2B
CUST000123,CC000123,Nova Networks 123,Healthcare,SMB,SMB,211,5000000,UK,Europe,London,2024-02-04,2024-02-05,2024-12-31,793,10,8,AM003,Active,B2B
CUST000124,CC000124,BluePeak Networks 124,Manufacturing,SMB,SMB,75,8000000,Canada,North America,Toronto,2023-12-12,2023-12-16,2024-02-13,347,12,4,AM004,Active,B2B
CUST000125,CC000125,Quantum Networks 125,Retail,SMB,SMB,125,6000000,Germany,Europe,Munich,2023-03-18,2023-03-20,2023-12-25,436,21,35,AM005,Active,B2B
CUST000126,CC000126,Prime Networks 126,E-commerce,SMB,SMB,96,3000000,Singapore,Asia,Singapore,2022-03-22,2022-03-28,2024-01-21,524,33,17,AM006,Active,B2B
CUST000127,CC000127,Zenith Networks 127,Education,SMB,SMB,86,4000000,Australia,Oceania,Melbourne,2023-10-16,2023-10-20,2024-12-31,697,14,18,AM007,Active,B2B
CUST000128,CC000128,Fusion Networks 128,Logistics,SMB,SMB,169,5000000,Japan,Asia,Nagoya,2023-07-14,2023-07-16,2023-10-29,368,17,30,AM008,Inactive,B2B
CUST000129,CC000129,Orbit Networks 129,Telecommunications,SMB,SMB,126,7000000,France,Europe,Marseille,2022-09-14,2022-09-21,2023-08-26,408,27,14,AM009,Active,B2B
CUST000130,CC000130,Bright Networks 130,Real Estate,SMB,SMB,77,4000000,UAE,Middle East,Abu Dhabi,2023-08-09,2023-08-14,2024-12-31,731,16,20,AM010,Active,B2B
CUST000131,CC000131,NextGen Networks 131,Pharmaceuticals,SMB,SMB,218,7000000,India,South Asia,Pune,2022-01-09,2022-01-09,2023-10-21,867,35,33,AM011,Active,B2B
CUST000132,CC000132,Alpha Networks 132,Hospitality,SMB,SMB,123,4000000,USA,North America,Boston,2024-04-01,2024-04-06,2024-12-16,650,8,14,AM012,Active,B2B
CUST000133,CC000133,Vision Networks 133,Insurance,SMB,SMB,243,3000000,UK,Europe,Leeds,2022-04-10,2022-04-10,2023-03-22,49,32,30,AM013,Active,B2B
CUST000134,CC000134,Core Networks 134,Consulting,SMB,SMB,237,3000000,Canada,North America,Toronto,2022-10-30,2022-11-04,2024-02-02,220,26,13,AM014,Active,B2B
CUST000135,CC000135,Nexa Networks 135,Media,SMB,SMB,188,6000000,Germany,Europe,Hamburg,2023-05-29,2023-06-02,2023-12-17,859,19,18,AM015,Inactive,B2B
CUST000136,CC000136,Skyline Networks 136,Energy,SMB,SMB,125,6000000,Singapore,Asia,Singapore,2023-04-25,2023-04-26,2023-10-17,895,20,16,AM016,Active,B2B
CUST000137,CC000137,Pioneer Networks 137,Automotive,SMB,SMB,222,7000000,Australia,Oceania,Perth,2023-01-10,2023-01-11,2024-03-20,285,23,2,AM017,Active,B2B
CUST000138,CC000138,Optima Networks 138,Agriculture,SMB,SMB,166,6000000,Japan,Asia,Nagoya,2024-02-06,2024-02-10,2024-12-31,857,10,26,AM018,Active,B2B
CUST000139,CC000139,Elevate Networks 139,Construction,SMB,SMB,145,2000000,France,Europe,Marseille,2022-08-28,2022-09-04,2022-10-29,639,28,22,AM019,Active,B2B
CUST000140,CC000140,Pulse Networks 140,Government,SMB,SMB,66,8000000,UAE,Middle East,Abu Dhabi,2023-10-27,2023-11-02,2024-03-30,61,14,10,AM020,Inactive,B2B
CUST000141,CC000141,Apex Software 141,Information Technology,SMB,SMB,127,8000000,India,South Asia,Hyderabad,2022-04-10,2022-04-13,2023-11-14,412,32,10,AM021,Active,B2B
CUST000142,CC000142,Vertex Software 142,Banking & Finance,SMB,SMB,221,7000000,USA,North America,Boston,2024-01-31,2024-02-02,2024-12-31,868,11,8,AM022,Active,B2B
CUST000143,CC000143,Nova Software 143,Healthcare,SMB,SMB,154,5000000,UK,Europe,London,2023-12-08,2023-12-13,2024-08-21,470,12,30,AM023,Inactive,B2B
CUST000144,CC000144,BluePeak Software 144,Manufacturing,SMB,SMB,142,2000000,Canada,North America,Calgary,2023-01-12,2023-01-17,2023-04-19,297,23,27,AM024,Active,B2B
CUST000145,CC000145,Quantum Software 145,Retail,SMB,SMB,81,8000000,Germany,Europe,Berlin,2023-11-10,2023-11-13,2024-12-31,66,13,3,AM025,Active,B2B
CUST000146,CC000146,Prime Software 146,E-commerce,SMB,SMB,112,3000000,Singapore,Asia,Singapore,2022-03-12,2022-03-15,2023-12-05,847,33,15,AM026,Active,B2B
CUST000147,CC000147,Zenith Software 147,Education,SMB,SMB,134,3000000,Australia,Oceania,Perth,2022-01-03,2022-01-07,2022-07-04,568,35,10,AM027,Active,B2B
CUST000148,CC000148,Fusion Software 148,Logistics,SMB,SMB,94,2000000,Japan,Asia,Nagoya,2024-06-06,2024-06-06,2024-11-17,381,6,2,AM028,Active,B2B
